,Tile,course_description,curriculum,href,text
Coding a ChatGPT-style Language Model from Scratch in PyTorch,Coding a ChatGPT-style Language Model from Scratch in PyTorch,"Master the art of building a ChatGPT-style language model from scratch with PyTorch. In this course, you'll explore essential NLP concepts, implement transformers, and create a decoder-only architecture step-by-step. Guided by expert tutorials, gain practical skills to develop advanced AI models tailored for real-world applications.","Chapter: Coding a ChatGPT
Lessons: Introduction, Importing, Creating Inputs & Lables, Position Encoding, Masked Self-Attention, Putting Pieces Together, Creating Decoder Only Transformer

",https://courses.analyticsvidhya.com/courses/coding-a-chatgpt-style-language-model-from-scratch-in-pytorch,"Coding a ChatGPT-style Language Model from Scratch in PyTorchMaster the art of building a ChatGPT-style language model from scratch with PyTorch. In this course, you'll explore essential NLP concepts, implement transformers, and create a decoder-only architecture step-by-step. Guided by expert tutorials, gain practical skills to develop advanced AI models tailored for real-world applications."
Mastering Multilingual GenAI Open-Weights for Indic Languages,Mastering Multilingual GenAI Open-Weights for Indic Languages,"Mastering Multilingual GenAI – Open-Weights for Indic Languages"" is a course designed to equip you with the knowledge to develop state-of-the-art multilingual AI models using open-weight architectures. Focusing on low-resource languages, particularly Indic languages, the course covers essential topics like multilingual AI training, instruction fine-tuning, model building, and performance evaluation.","Chapter: Mastering Multilingual GenAI
Lessons: Introduction, Importance of Multilingual, Training for Multilingual Gen AI, Instruction Fine-Tuning Data for Multilingual, Measuring Performance for Multilingual, Building a Model, Human Preferences, Curse of Multilinguality, Coding Hands-On

",https://courses.analyticsvidhya.com/courses/mastering-multilingual-genai-open-weights-for-indic-languages,"Mastering Multilingual GenAI Open-Weights for Indic LanguagesMastering Multilingual GenAI – Open-Weights for Indic Languages"" is a course designed to equip you with the knowledge to develop state-of-the-art multilingual AI models using open-weight architectures. Focusing on low-resource languages, particularly Indic languages, the course covers essential topics like multilingual AI training, instruction fine-tuning, model building, and performance evaluation."
Learning Autonomous Driving Behaviors with LLMs & RL,Learning Autonomous Driving Behaviors with LLMs & RL,"This course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs). You’ll explore how RL agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. The course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of AI decisions. Through practical projects, you will design RL agents using techniques like Deep Q-Networks (DQN), experience replay, and integrate LLMs to enhance decision-making.","Chapter: Learning Autonomous Driving Behaviors with LLMs & RL
Lessons: Introduction, Evolution RL, Understanding RL, Challenges with RL, Approach to the Problem Statement, Hands-On: Learning Autonomous Driving Behaviors with LLMs & RL

",https://courses.analyticsvidhya.com/courses/learning-autonomous-driving-behaviors-with-llms-and-rl,"Learning Autonomous Driving Behaviors with LLMs & RLThis course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs). You’ll explore how RL agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. The course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of AI decisions. Through practical projects, you will design RL agents using techniques like Deep Q-Networks (DQN), experience replay, and integrate LLMs to enhance decision-making."
GenAI Applied to Quantitative Finance: For Control Implementation,GenAI Applied to Quantitative Finance: For Control Implementation,"This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.","Chapter: Gen AI Applied to Quantitative Finance
Lessons: Introduction, Overview, Problem Definition: Commodity Price Prediction, Architecture, Hands-On

",https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation,"GenAI Applied to Quantitative Finance: For Control ImplementationThis course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals."
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.","Chapter: Navigating LLM Tradeoffs
Lessons: Introduction, Resources, Technique to Increase Accuracy, Training Speed and Cost Optimization, Inference Speed and Cost Optimization, Scale

",https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy,"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & AccuracyThis course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions."
Creating Problem-Solving Agents using GenAI for Action Composition,Creating Problem-Solving Agents using GenAI for Action Composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.","Chapter: Creating Problem-Solving Agents using GenAI for Action Composition
Lessons: Introduction, Overview- Count the Number of Agents, A brief history of Agentic Systems, Agents Today, Multi-Agent Systems Today, Practical Solutions

",https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition,"Creating Problem-Solving Agents using GenAI for Action CompositionThis introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action."
Improving Real World RAG Systems: Key Challenges & Practical Solutions,Improving Real World RAG Systems: Key Challenges & Practical Solutions,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","Chapter: Improving Real World RAG System
Lessons: Introduction to RAG Systems, Resources, RAG System Challenges Practical Solutions, Hands-on: Solution for Missing Content in RAG, Other Key Challenges, Practical Solutions, Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed, Wrong Format Problem  Solution, Hands-on: Solution for Wrong Format, Incomplete Problem Solution, HyDE, Other Practical Solutions from recent Research Papers

",https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,"Improving Real World RAG Systems: Key Challenges & Practical SolutionsThis course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications."
Framework to Choose the Right LLM for your Business,Framework to Choose the Right LLM for your Business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.","Chapter: Introduction
Lessons: Introduction

Chapter: It's an LLM World!
Lessons: It's an LLM World!

Chapter: Understand Your Business
Lessons: Understand Your Business

Chapter: Framework to Choose the Right LLM
Lessons: Framework to Choose the Right LLM

Chapter: Case Studies
Lessons: Case Studies

Chapter: Conclusion
Lessons: Conclusion

",https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,"Framework to Choose the Right LLM for your BusinessThis course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively."
Building Smarter LLMs with Mamba and State Space Model,Building Smarter LLMs with Mamba and State Space Model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.","Chapter: Course Overview
Lessons: Course Overview

Chapter: An Alternative to Transformers
Lessons: Are RNNs a Solution, The Problem with Transformers

Chapter: Understanding State Space Models
Lessons: What is a State Space Model?, The Discrete Representation, The Recurrent Representation, The Convolution Representation, The Three Representations, The Importance of the A Matrix

Chapter: Mamba - A Selective State Space Model
Lessons: What Problem does it attempt to Solve?, Selectively Retaining Information, Speeding Up Computations, Exploring the Mamba Block, Jamba - Mixing Mamba with Transformers

",https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,"Building Smarter LLMs with Mamba and State Space ModelUnlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures."
Generative AI - A Way of Life - Free Course,Generative AI - A Way of Life - Free Course,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.","Chapter: Introduction to Generative AI
Lessons: Fundamentals of Generative AI, What is Generative AI?, How does Generative AI work?, Exploring the Potential of Generative AI, GenAI Pinnacle Program, Hands On: Let’s get generating!

Chapter: Text Generation Using Generative AI
Lessons: An Overview of Text Generation, What is ChatGPT?, Working with ChatGPT, Working with ChatGPT Plus, Build a Custom GPT, Working with Microsoft Copilot, Working with Google Gemini, Gen AI Pinnacle Ad, Learning the Art of Prompting, Creating a Chatbot, Ethics and Best Practices

Chapter: Image Generation Using Generative AI
Lessons: Introduction to Image Generation, Exploring the Potential of Image Generation, Working with free image generation tools, Working with Clipdrop, Working with Bing Image Creator, Working with Firefly, Working with Paid Image Generative Tools, Working with paid image generative tools DreamStudio, Working with DALLE-2, Working with Midjourney, Gen AI Pinnacle Ad, Prompting your Way to Art, Accomplishing Tasks with Image Generation, E for Ethics and Efficiency

",https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,"Generative AI - A Way of Life - Free CourseThis course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field."
